"","is_female","race_A","race_B","race_C","race_D","race_E","parent_ed_hs_some","parent_ed_hs_all","parent_ed_col_some","parent_ed_col_4yr","parent_ed_col_6yr","has_reduced_price_lunch","taken_prep_course","score_math","score_rdg","score_wrtng"
"1",0,0,1,0,0,0,0,0,0,1,0,0,0,72,72,74
"2",0,0,0,1,0,0,0,0,1,0,0,0,0,69,90,88
"3",0,0,1,0,0,0,0,0,0,0,1,0,0,90,95,93
"4",0,1,0,0,0,0,0,0,0,0,0,0,0,47,57,44
"5",0,0,0,1,0,0,0,0,1,0,0,0,0,76,78,75
"6",0,0,1,0,0,0,0,0,0,0,0,0,0,71,83,78
"7",0,0,1,0,0,0,0,0,1,0,0,0,0,88,95,92
"8",0,0,1,0,0,0,0,0,1,0,0,0,0,40,43,39
"9",0,0,0,0,1,0,0,1,0,0,0,0,0,64,64,67
"10",0,0,1,0,0,0,0,1,0,0,0,0,0,38,60,50
"11",0,0,0,1,0,0,0,0,0,0,0,0,0,58,54,52
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,40,52,43
"13",0,0,1,0,0,0,0,1,0,0,0,0,0,65,81,73
"14",0,1,0,0,0,0,0,0,1,0,0,0,0,78,72,70
"15",0,1,0,0,0,0,0,0,0,0,1,0,0,50,53,58
"16",0,0,0,1,0,0,1,0,0,0,0,0,0,69,75,78
"17",0,0,0,1,0,0,0,1,0,0,0,0,0,88,89,86
"18",0,0,1,0,0,0,1,0,0,0,0,0,0,18,32,28
"19",0,0,0,1,0,0,0,0,0,0,1,0,0,46,42,46
"20",0,0,0,1,0,0,0,0,0,0,0,0,0,54,58,61
"21",0,0,0,0,1,0,0,1,0,0,0,0,0,66,69,63
"22",0,0,1,0,0,0,0,0,1,0,0,0,0,65,75,70
"23",0,0,0,0,1,0,0,0,1,0,0,0,0,44,54,53
"24",0,0,0,1,0,0,1,0,0,0,0,0,0,69,73,73
"25",0,0,0,0,1,0,0,0,0,1,0,0,0,74,71,80
"26",0,1,0,0,0,0,0,0,0,0,1,0,0,73,74,72
"27",0,0,1,0,0,0,0,0,1,0,0,0,0,69,54,55
"28",0,0,0,1,0,0,0,0,0,1,0,0,0,67,69,75
"29",0,0,0,1,0,0,0,1,0,0,0,0,0,70,70,65
"30",0,0,0,0,1,0,0,0,0,0,1,0,0,62,70,75
"31",0,0,0,0,1,0,0,0,1,0,0,0,0,69,74,74
"32",0,0,1,0,0,0,0,0,1,0,0,0,0,63,65,61
"33",0,0,0,0,0,1,0,0,0,0,1,0,0,56,72,65
"34",0,0,0,0,1,0,0,0,1,0,0,0,0,40,42,38
"35",0,0,0,0,0,1,0,0,1,0,0,0,0,97,87,82
"36",0,0,0,0,0,1,0,0,0,0,0,0,0,81,81,79
"37",0,0,0,0,1,0,0,0,0,0,0,0,0,74,81,83
"38",0,0,0,0,1,0,1,0,0,0,0,0,0,50,64,59
"39",0,0,0,0,1,0,0,0,0,0,0,0,0,75,90,88
"40",0,0,1,0,0,0,0,0,0,0,0,0,0,57,56,57
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,55,61,54
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,58,73,68
"43",0,0,1,0,0,0,0,0,0,0,0,0,0,53,58,65
"44",0,0,1,0,0,0,0,0,1,0,0,0,0,59,65,66
"45",0,0,0,0,0,1,0,0,0,0,0,0,0,50,56,54
"46",0,0,1,0,0,0,0,0,0,0,0,0,0,65,54,57
"47",0,1,0,0,0,0,0,0,0,0,0,0,0,55,65,62
"48",0,0,0,1,0,0,0,1,0,0,0,0,0,66,71,76
"49",0,0,0,0,1,0,0,0,0,0,0,0,0,57,74,76
"50",0,0,0,1,0,0,0,1,0,0,0,0,0,82,84,82
"51",0,0,0,0,0,1,0,0,1,0,0,0,0,53,55,48
"52",0,0,0,0,0,1,0,0,0,0,0,0,0,77,69,68
"53",0,0,0,1,0,0,0,0,1,0,0,0,0,53,44,42
"54",0,0,0,0,1,0,0,1,0,0,0,0,0,88,78,75
"55",0,0,0,1,0,0,1,0,0,0,0,0,0,71,84,87
"56",0,0,0,1,0,0,0,1,0,0,0,0,0,33,41,43
"57",0,0,0,0,0,1,0,0,0,0,0,0,0,82,85,86
"58",0,0,0,0,1,0,0,0,0,0,0,0,0,52,55,49
"59",0,0,0,0,1,0,0,0,1,0,0,0,0,58,59,58
"60",0,0,0,1,0,0,1,0,0,0,0,0,0,0,17,10
"61",0,0,0,0,0,1,0,0,0,1,0,0,0,79,74,72
"62",0,1,0,0,0,0,1,0,0,0,0,0,0,39,39,34
"63",0,1,0,0,0,0,0,0,0,0,0,0,0,62,61,55
"64",0,0,0,1,0,0,0,0,0,0,0,0,0,69,80,71
"65",0,0,0,0,1,0,1,0,0,0,0,0,0,59,58,59
"66",0,0,1,0,0,0,1,0,0,0,0,0,0,67,64,61
"67",0,0,0,0,1,0,1,0,0,0,0,0,0,45,37,37
"68",0,0,0,1,0,0,0,0,1,0,0,0,0,60,72,74
"69",0,0,1,0,0,0,0,0,0,0,0,0,0,61,58,56
"70",0,0,0,1,0,0,0,0,0,0,0,0,0,39,64,57
"71",0,0,0,0,1,0,0,0,1,0,0,0,0,58,63,73
"72",0,0,0,0,1,0,0,0,1,0,0,0,0,63,55,63
"73",0,1,0,0,0,0,0,0,0,0,0,0,0,41,51,48
"74",0,0,0,1,0,0,1,0,0,0,0,0,0,61,57,56
"75",0,0,0,1,0,0,1,0,0,0,0,0,0,49,49,41
"76",0,0,1,0,0,0,0,0,0,0,0,0,0,44,41,38
"77",0,0,0,0,0,1,1,0,0,0,0,0,0,30,26,22
"78",0,1,0,0,0,0,0,0,0,1,0,0,0,80,78,81
"79",0,0,0,0,1,0,1,0,0,0,0,0,0,61,74,72
"80",0,0,0,0,0,1,0,0,0,0,1,0,0,62,68,68
"81",0,0,1,0,0,0,0,0,0,0,0,0,0,47,49,50
"82",0,0,1,0,0,0,0,1,0,0,0,0,0,49,45,45
"83",0,1,0,0,0,0,0,0,1,0,0,0,0,50,47,54
"84",0,0,0,0,0,1,0,0,0,0,0,0,0,72,64,63
"85",0,0,0,0,1,0,0,1,0,0,0,0,0,42,39,34
"86",0,0,0,1,0,0,0,0,1,0,0,0,0,73,80,82
"87",0,0,0,1,0,0,0,0,1,0,0,0,0,76,83,88
"88",0,0,0,0,1,0,0,0,0,0,0,0,0,71,71,74
"89",0,1,0,0,0,0,0,0,1,0,0,0,0,58,70,67
"90",0,0,0,0,1,0,1,0,0,0,0,0,0,73,86,82
"91",0,0,0,1,0,0,0,0,0,1,0,0,0,65,72,74
"92",0,0,0,1,0,0,0,1,0,0,0,0,0,27,34,36
"93",0,0,0,1,0,0,0,1,0,0,0,0,0,71,79,71
"94",0,0,0,1,0,0,0,0,0,0,0,0,0,43,45,50
"95",0,0,1,0,0,0,0,0,1,0,0,0,0,79,86,92
"96",0,0,0,1,0,0,0,0,0,0,0,0,0,78,81,82
"97",0,0,1,0,0,0,1,0,0,0,0,0,0,65,66,62
"98",0,0,0,0,0,1,0,0,1,0,0,0,0,63,72,70
"99",0,0,0,0,1,0,0,0,1,0,0,0,0,58,67,62
"100",0,0,0,0,1,0,0,0,0,1,0,0,0,65,67,62
"101",0,0,1,0,0,0,0,0,1,0,0,0,0,79,67,67
"102",0,0,0,0,1,0,0,0,0,1,0,0,0,68,74,74
