"Year","Make","Name","Kilometers_Driven","TransmissionManual","Fuel_econ_kmpl","Engine_cc","Power_bhp","Seats","Owner_TypeSecond","Owner_TypeThird","Owner_TypeFourth & Above","Fuel_TypeDiesel","Fuel_TypeElectric","Fuel_TypePetrol","Price_lakh"
2015,"Hyundai","Hyundai Creta 1.6 CRDi SX Option",41000,1,19.67,1582,126.2,5,0,0,0,1,0,0,12.5
2011,"Honda","Honda Jazz V",46000,1,13,1199,88.7,5,0,0,0,0,0,1,4.5
2012,"Maruti","Maruti Ertiga VDI",87000,1,20.77,1248,88.76,7,0,0,0,1,0,0,6
2013,"Audi","Audi A4 New 2.0 TDI Multitronic",40670,0,15.2,1968,140.8,5,1,0,0,1,0,0,17.74
2013,"Nissan","Nissan Micra Diesel XV",86999,1,23.08,1461,63.1,5,0,0,0,1,0,0,3.5
2016,"Toyota","Toyota Innova Crysta 2.8 GX AT 8S",36000,0,11.36,2755,171.5,8,0,0,0,1,0,0,17.5
2013,"Volkswagen","Volkswagen Vento Diesel Comfortline",64430,1,20.54,1598,103.6,5,0,0,0,1,0,0,5.2
2012,"Tata","Tata Indica Vista Quadrajet LS",65932,1,22.3,1248,74,5,1,0,0,1,0,0,1.95
2018,"Maruti","Maruti Ciaz Zeta",25692,1,21.56,1462,103.25,5,0,0,0,0,0,1,9.95
2012,"Honda","Honda City 1.5 V AT Sunroof",60000,0,16.8,1497,116.3,5,0,0,0,0,0,1,4.49
2015,"Maruti","Maruti Swift VDI BSIV",64424,1,25.2,1248,74,5,0,0,0,1,0,0,5.6
2014,"Land","Land Rover Range Rover 2.2L Pure",72000,0,12.7,2179,187.7,5,0,0,0,1,0,0,27
2012,"Land","Land Rover Freelander 2 TD4 SE",85000,0,0,2179,115,5,1,0,0,1,0,0,17.5
2014,"Mitsubishi","Mitsubishi Pajero Sport 4X4",110000,1,13.5,2477,175.56,7,0,0,0,1,0,0,15
2016,"Honda","Honda Amaze S i-Dtech",58950,1,25.8,1498,98.6,5,0,0,0,1,0,0,5.4
2017,"Maruti","Maruti Swift DDiS VDI",25000,1,28.4,1248,74,5,0,0,0,1,0,0,5.99
2014,"Renault","Renault Duster 85PS Diesel RxL Plus",77469,1,20.45,1461,83.8,5,0,0,0,1,0,0,6.34
2014,"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI BE Avantgare",78500,0,14.84,2143,167.62,5,0,0,0,1,0,0,28
2014,"BMW","BMW 3 Series 320d",32982,0,22.69,1995,190,5,0,0,0,1,0,0,18.55
2015,"Maruti","Maruti S Cross DDiS 200 Alpha",55392,1,23.65,1248,88.5,5,1,0,0,1,0,0,8.25
2015,"Audi","Audi A6 2011-2015 35 TFSI Technology",55985,0,13.53,1984,177.01,5,0,0,0,0,0,1,23.5
2010,"Hyundai","Hyundai i20 1.2 Magna",45807,1,18.5,1197,80,5,0,0,0,0,0,1,1.87
2010,"Volkswagen","Volkswagen Vento Petrol Highline AT",33000,0,14.4,1598,103.6,5,0,0,0,0,0,1,2.85
2012,"Honda","Honda City Corporate Edition",51920,1,16.8,1497,116.3,5,0,0,0,0,0,1,4.25
2012,"Nissan","Nissan Micra Diesel XV",54000,1,16.48,1461,63.1,5,0,0,0,1,0,0,4.25
2013,"Maruti","Maruti Alto K10 2010-2014 VXI",54000,1,20.92,998,67.1,5,1,0,0,0,0,1,2.75
2018,"Honda","Honda WRV i-VTEC VX",37430,1,17.5,1199,88.7,5,0,0,0,0,0,1,9.9
2007,"Toyota","Toyota Innova 2.5 V Diesel 7-seater",262000,1,12.8,2494,102,7,0,0,1,1,0,0,4
2013,"Renault","Renault Duster 110PS Diesel RxZ Pack",62000,1,19.01,1461,108.45,5,0,0,0,1,0,0,7.75
2012,"Toyota","Toyota Corolla Altis G",87615,1,14.53,1798,138.1,5,0,0,0,0,0,1,6.75
2013,"Mahindra","Mahindra Ssangyong Rexton RX7",72000,0,11.18,2696,184,7,1,0,0,1,0,0,12.5
2010,"Audi","Audi A6 2.7 TDI",35000,0,12.4,2698,179.5,5,0,0,0,1,0,0,11.5
2014,"Volkswagen","Volkswagen Vento 1.6 Highline",55431,1,16.09,1598,103.5,5,1,0,0,0,0,1,6.98
2009,"Maruti","Maruti Wagon R LXI BSIII",83816,1,14,1061,64,5,1,0,0,0,0,1,1.85
2018,"Maruti","Maruti Vitara Brezza ZDi Plus",50075,1,24.3,1248,88.5,5,0,0,0,1,0,0,8.63
2017,"Mahindra","Mahindra KUV 100 mFALCON G80 K6 5str AW",52000,1,18.15,1198,82,5,0,0,0,0,0,1,4.85
2013,"Mercedes-Benz","Mercedes-Benz M-Class ML 350 CDI",85000,0,11.74,2987,254.8,5,0,0,0,1,0,0,28
2013,"Volkswagen","Volkswagen Polo Diesel Trendline 1.2L",62000,1,22.07,1199,73.9,5,0,0,0,1,0,0,5
2008,"Maruti","Maruti Alto LXi",90000,1,19.7,796,46.3,5,1,0,0,0,0,1,1.25
2014,"Tata","Tata Nano LX SE",19698,1,25.4,624,37.5,4,0,0,0,0,0,1,1.53
2017,"Mahindra","Mahindra KUV 100 mFALCON D75 K8 Dual Tone",22033,1,25.32,1198,77,6,0,0,0,1,0,0,5.58
2014,"Hyundai","Hyundai i20 Magna Optional 1.2",35487,1,18.5,1197,82.9,5,0,0,0,0,0,1,4.74
2014,"Hyundai","Hyundai Elantra 2.0 SX Option AT",46374,0,14.62,1999,149.92,5,0,0,0,0,0,1,8.85
2016,"Toyota","Toyota Corolla Altis G AT",52001,0,14.28,1798,138.03,5,0,0,0,0,0,1,10.11
2008,"Hyundai","Hyundai Elantra CRDi",58005,1,14.9,1991,112.2,5,1,0,0,1,0,0,4.25
2012,"Toyota","Toyota Innova Crysta 2.7 GX MT",70704,1,11.25,2694,163.7,7,0,0,0,0,0,1,10.95
2014,"Hyundai","Hyundai Xcent 1.1 CRDi S",75000,1,24.4,1120,71,5,0,0,0,1,0,0,3.85
2012,"Mahindra","Mahindra Thar CRDe AC",75800,1,16.55,2498,105,6,1,0,0,1,0,0,5.5
2015,"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus",13648,0,17.11,1968,174.33,5,0,0,0,1,0,0,21.43
2014,"Maruti","Maruti Swift LDI",52000,1,22.9,1248,74,5,0,0,0,1,0,0,4.25
2014,"Maruti","Maruti Swift Ldi BSIV",53000,1,17.8,1248,75,5,0,0,0,1,0,0,3.3
